2024-12-17 03:36:29 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:30 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:30 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:30 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:32 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:33 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:33 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:36 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:36 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:37 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:38 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:38 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:40 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:40 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:40 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:40 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:40 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:41 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:44 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:44 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:47 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:51 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:52 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:55 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:57 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:58 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:59 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:00 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:00 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:01 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:03 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:04 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:04 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:04 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:04 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:05 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:06 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:07 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:07 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:10 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:10 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:12 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:13 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:13 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:14 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:17 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:18 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:20 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:22 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:22 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:23 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:23 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:23 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:26 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:26 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:27 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:28 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:30 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:30 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:30 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:31 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:32 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:32 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:34 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:34 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:34 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:34 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:34 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:35 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:37 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:37 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:39 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:39 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:39 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:40 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:41 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:45 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:45 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:46 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:48 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:48 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:48 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:50 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:51 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:51 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:51 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:52 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:52 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:52 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:54 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:54 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:56 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:56 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:56 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:56 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:59 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:37:59 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:38:00 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:38:00 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:38:02 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:38:03 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:38:03 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:38:04 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:38:06 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:38:06 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:38:07 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
