"","F_value Intercept","p_value Intercept","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient cEi","Coef SE Intercept","Coef SE cEi","Coef tval Intercept","Coef tval cEi","Coef pval Intercept","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi"
"PTHR23019",87.4061904823298,5.1057443699767e-12,0.0182135243593442,0.893260976330627,2.29645718461404,0.0321337853890463,0.340670586305826,0.238103014264206,6.74099049617531,0.134957490934532,2.74299763268745e-08,0.893260976330627,0.0203413976147953,0.964376767972716
"PTHR23023_SF57",26.7689583699009,5.41868036707306e-06,0.000367285329938657,0.984796369923563,1.26301800875119,0.00458292977262581,0.342145754770827,0.239134045624657,3.69146187301717,0.0191646896645538,0.000611680516123252,0.984796369923563,0.00288917361607771,0.992934809766507
"PTHR23024_SF97",14.5672191346911,0.000419203296353021,2.71004614874704,0.106843532926677,0.851394900064685,-0.629812304814096,0.547384559361585,0.382580471531155,1.55538713232552,-1.64622177993946,0.127018182607462,0.106843532926677,-0.240870267551511,0.365242687384631
"PTHR23031",38.231416266708,1.81509701513997e-07,3.48587631831508,0.06856608146018,1.38046000207111,-0.584427888408726,0.44786248916225,0.313022059819605,3.08233003539397,-1.8670501649166,0.00353846526148043,0.06856608146018,-0.270940394275702,0.267033251336445
"PTHR23033_SF13",13.9912147667617,0.000527911355355626,11.4323761904449,0.00152326294635092,0.132181119649234,-1.11171694557713,0.470430766008506,0.328795581103356,0.280978901041611,-3.38117970395614,0.78004366737855,0.00152326294635092,-0.454136601438037,0.0160310828145227
"PTHR23033_SF2",6.59716786454368,0.013684281496169,5.32259993697551,0.0258166644408181,2.28018277251453,1.06618622467632,0.661212262811157,0.462137440602106,3.44848833084294,2.30707605790869,0.00125355042519328,0.0258166644408181,0.328502690995493,0.133579318033038
"PTHR23036_SF29",11.5383193565441,0.0014560953252631,6.3298103283956,0.0155958027996877,1.88557986642471,0.79242578476339,0.450643379204101,0.314965691961383,4.18419520498649,2.51591143095213,0.000134561411367525,0.0155958027996877,0.354635903339008,0.0932142202016016
"PTHR23037_SF21",7.60583287367573,0.00844127954233176,0.932121942523277,0.339588879741681,1.3985401254324,0.357531999180304,0.529844335972753,0.370321179923281,2.63953019874185,0.965464625205542,0.0114414261911553,0.339588879741681,0.14403163853736,0.680313499336957
"PTHR23037_SF24",70.8672828694987,1.01994417939393e-10,1.78401171760544,0.188525769673482,0.893637473127923,-0.16536121367434,0.177135066392613,0.123804035145285,5.04494954797495,-1.3356690149904,8.31046661728924e-06,0.188525769673482,-0.197397627782174,0.507489525527418
"PTHR23037_SF26",10.0494839722345,0.00277355172432637,22.8165497439354,2.00865832325344e-05,-0.452754019079784,-1.36670458276261,0.409373201284077,0.286120954091479,-1.10596887548973,-4.77666722139354,0.274750521515299,2.00865832325344e-05,-0.584363340658241,0.000458995073203107
"PTHR23038",497.589872827488,1.28979859596876e-25,0.393837509547125,0.53353263245349,2.90742645428267,-0.0827232290171788,0.188598695569568,0.131816246269934,15.4159414809431,-0.627564745302925,2.37247892817195e-19,0.53353263245349,-0.0941883511362105,0.817232507413602
"PTHR23039",281.727495768034,9.57101010532426e-21,0.791999718948359,0.378336352169284,4.22127808522298,0.209085389978993,0.336148299041124,0.234942276964369,12.5577850528006,0.889943660547318,3.81164363587397e-16,0.378336352169284,0.132972638977002,0.711595794712213
"PTHR23041_SF57",6.99904199292963,0.0112671984264057,0.163056240648489,0.688314055816883,1.39881619226978,0.18237576114944,0.646201779153244,0.451646246034153,2.16467400337821,0.403802229622979,0.0358792932187202,0.688314055816883,0.0607629922470945,0.888612125178703
"PTHR23044",40.7567836272411,9.18707813546414e-08,0.016670897978999,0.897854408941816,3.19626116714213,0.0623094400184502,0.690468858629746,0.48258559178256,4.62911705168745,0.12911583163578,3.24734768566511e-05,0.897854408941816,0.0194612575705451,0.96658709273543
"PTHR23045",2.65249891232269,0.110527392200498,0.840868043239906,0.364147662515768,4.96725354971361,1.76598328094362,2.75544919817366,1.92585091319878,1.80270191626322,0.916988573123955,0.0782868668950524,0.364147662515768,0.136938926255707,0.701900297029809
"PTHR23048",35.6746750344989,3.69963517582751e-07,4.2050066477428,0.0462903917156612,3.78551616754149,-1.93510888851902,1.35018043033061,0.943674162622484,2.80371132813306,-2.05061128635897,0.0074886899118972,0.0462903917156612,-0.295350200361566,0.201958924194066
"PTHR23049_SF33",9.60819451424241,0.00337276661281401,3.71737812341861,0.0603180157853314,0.830876150401742,-1.32116265610944,0.980409847140747,0.685232448007589,0.847478381439046,-1.92805034255297,0.40131499856037,0.0603180157853314,-0.279113011714879,0.243390549549396
"PTHR23049_SF37",7.2761947753505,0.00986826690080987,1.04126173976589,0.313106263746058,0.82807215808191,-0.492204155086645,0.690136607567798,0.482353373380026,1.1998670248782,-1.02042233401954,0.236611961601536,0.313106263746058,-0.152045888748158,0.65703069855591
"PTHR23050_SF135",4.09905880206083,0.0490026972331039,0.547482048371718,0.463278220590941,0.817488240359736,-0.460099464245707,0.889685536554526,0.621823005907328,0.918850770043551,-0.739920298661766,0.36318350951888,0.463278220590941,-0.110859613717187,0.775442622567435
"PTHR23050_SF141",25.929889774465,7.10797841739836e-06,0.0155919396635469,0.901197056942355,1.24679227911066,0.0293473923328502,0.336270825328271,0.235027913586576,3.70770279548793,0.124867688628992,0.00058260229924272,0.901197056942355,0.018821177884185,0.966993240704585
"PTHR23050_SF155",19.518453741434,6.41070004724171e-05,8.69025169360221,0.00510363197842547,1.49997740308771,-2.89562858688105,1.40538858772388,0.982260495624863,1.06730438555576,-2.94792328489094,0.291655621022666,0.00510363197842547,-0.406116879885593,0.0423827346288671
"PTHR23050_SF158",1.23022347223014,0.273389219291932,0.416382865933836,0.522098241501105,0.379946469386182,-0.512065279595395,1.13539937067786,0.793558421006126,0.334636850432059,-0.645277355819833,0.739489056734863,0.522098241501105,-0.0968221742584914,0.811679387271704
"PTHR23050_SF90",47.1263732669006,1.80426751901665e-08,0.500512856295839,0.483005461793063,0.994875113230945,-0.11224967910528,0.227011173660563,0.158663667757075,4.38249402964862,-0.707469332406599,7.18008790409354e-05,0.483005461793063,-0.106053525602011,0.786842484714049
"PTHR23053_SF5",26.0920962868434,6.74285880776302e-06,17.2323645745156,0.000149250076087132,2.08345556589541,0.922769877746499,0.318046570373265,0.222290535568237,6.55078771467409,4.15118833281695,5.22271123782545e-08,0.000149250076087132,0.530495765625659,0.00254032228270114
"PTHR23055_SF79",9.69095251761103,0.00325073514079649,2.74755637030359,0.104517314927854,2.3595545677311,0.809046888107511,0.698345164968595,0.488090535138206,3.37877984425825,1.65757544935475,0.00153383346016809,0.104517314927854,0.242434179523392,0.359039546961464
"PTHR23056_SF17",3.90532632720862,0.0544236343044178,5.54890275576201,0.0230140454013376,-0.242701803666054,-1.58618003863925,0.963426677357762,0.673362494804587,-0.251915178777978,-2.35561090924669,0.802279617062966,0.0230140454013376,-0.334646691845632,0.123298046347062
"PTHR23056_SF2",19.6171438738628,6.18588733766777e-05,0.0145392528088522,0.904573585911877,1.16815281554813,0.0304471260272113,0.361280902687162,0.252508069037352,3.23336441771363,0.120578824048222,0.00232205024658308,0.904573585911877,0.0181749390899166,0.967529103834362
"PTHR23056_SF32",72.0857946517205,8.06193038941468e-11,0.122479264450901,0.728030663310184,1.09284578284659,-0.0461725718487913,0.188765457755399,0.131932800444869,5.78943730405749,-0.349970376533358,6.87571971590652e-07,0.728030663310184,-0.0526867404323397,0.904788108008089
"PTHR23063",71.3855199551482,9.22576906870375e-11,0.0116201300616722,0.914647012557341,5.78284076019628,0.0716358156800317,0.950811575595425,0.664545491295615,6.08200500354121,0.10779670710032,2.55671962383226e-07,0.914647012557341,0.016248819584295,0.973740037049463
"PTHR23064",152.482803453326,6.80663128205869e-16,0.392275395489628,0.534341774770729,1.89029376409932,-0.0992453071437744,0.22671705430116,0.158458100535124,8.33767785985937,-0.626318924741723,1.32760726554443e-10,0.534341774770729,-0.0940030254555284,0.817232507413602
"PTHR23065_SF10",65.0851773137015,3.22721144195987e-10,0.000192828621216767,0.988983486650496,1.10547854002865,-0.00187400826641285,0.193088095459221,0.134953997778085,5.72525477243687,-0.0138862745621987,8.53808441287254e-07,0.988983486650496,-0.00209343007002145,0.995545716653791
"PTHR23065_SF8",15.3107997510395,0.000312533238909079,0.327534884986836,0.5700270693433,0.946512389556161,-0.15913916739255,0.397848793009366,0.278066262967201,2.37907568449976,-0.572306635455885,0.0217596754807047,0.5700270693433,-0.0859591260039167,0.835447185968777
"PTHR23067_SF14",13.3530940488688,0.000683789035972582,0.665696289689027,0.418951275770084,0.992415007062085,-0.279631407513649,0.490362922901197,0.342726653604802,2.02383777547971,-0.815902132420934,0.0490856765808994,0.418951275770084,-0.122081825278345,0.744342590681145
"PTHR23067_SF36",4.51187506789503,0.0393173466322047,0.021746792271687,0.883436371661453,1.01910589599323,0.0650914607347089,0.631533160369409,0.441393989197432,1.61370132234564,0.14746793641903,0.113742188372017,0.883436371661453,0.0222261359930165,0.959463833517208
"PTHR23067_SF39",30.9331285309576,1.48062994025589e-06,2.39617445709978,0.128795703492356,0.835078592886309,-0.315347944890234,0.291474477501066,0.203718649228455,2.8650144604282,-1.54795815741246,0.00637023415345221,0.128795703492356,-0.227257450794603,0.407885933877784
"PTHR23068_SF10",27.8057305759381,3.89351315683764e-06,2.0376795646171,0.160502615066952,0.818326913665812,-0.297475719542985,0.298162707362092,0.208393216843084,2.74456494209393,-1.42747313971826,0.0087379852158608,0.160502615066952,-0.210383285035985,0.465323851986861
"PTHR23068_SF4",20.9977697557792,3.7784499286408e-05,0.537602880545198,0.467316538141732,1.2035490712544,0.163463360415039,0.318977003380164,0.222940837978891,3.77315310665196,0.733214075523102,0.000478343829832577,0.467316538141732,0.109867027397663,0.777795252214971
"PTHR23068_SF9",15.1654969842066,0.000330876258644337,1.70750596056449,0.198098124094036,1.48753451417317,0.368433308132789,0.403410795469135,0.281953682674833,3.68739391925118,1.30671571528182,0.000619179726244993,0.198098124094036,0.193280193581094,0.521204733621458
"PTHR23069",101.002406639109,5.72727772395496e-13,1.07994524920908,0.304386945552619,2.04692702017703,0.188787089588026,0.259920878792622,0.181665066484979,7.87519274975279,1.0392041422209,6.09896183785375e-10,0.304386945552619,0.154777981705811,0.647601910860222
