"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","Coefficient Intercept","Coefficient log10MLSP","Coef SE Intercept","Coef SE log10MLSP","Coef tval Intercept","Coef tval log10MLSP","Coef pval Intercept","Coef pval log10MLSP","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR14879",137.223901352117,4.07735928878779e-15,17.8609514251671,0.000117884065340563,0.986374668845779,0.878184334705872,0.31028947125017,0.207794185564785,3.17888539650293,4.22622188546308,0.0027061817263004,0.000117884065340563,0.537333598520086,0.0110164034181659
"PTHR14880",15.1739943120498,0.00032977299813683,0.108388670678404,0.74354818151953,1.14084884782998,-0.101242498393606,0.45920283129216,0.307518260136085,2.48441161527625,-0.329224347031631,0.0168542219092668,0.74354818151953,-0.0495714187328044,0.957070894242927
"PTHR14882",11.5475597215197,0.00145038698571743,0.0168071471072157,0.897440222808475,1.77183048382626,-0.0754929284629329,0.86954671773306,0.582316735704498,2.03764840656921,-0.12964238160114,0.0476259910547057,0.897440222808475,-0.0195405926879209,0.982773275746658
"PTHR14899",17.3472611249361,0.000142920969437997,2.15303971278722,0.149400021483569,0.5536834275982,0.469305362966474,0.477598710064665,0.319837584513674,1.15930679026171,1.46732399720962,0.25258400325517,0.149400021483569,0.215986131238818,0.624160089753579
"PTHR14903",45.2317024275741,2.89107754728589e-08,0.404331176076584,0.528154642659723,2.23672612961225,-0.219214145374453,0.514794156420652,0.34474657498351,4.34489417122397,-0.635870408241006,8.09406939474546e-05,0.528154642659723,-0.0954236331873015,0.911048964062121
"PTHR14905",1.47077438979366,0.231694822139464,16.0663168525635,0.00023294612156542,-3.80285694344669,3.91234988482645,1.45751546517717,0.976066760545631,-2.60913659875603,4.00828103462862,0.0123562575862074,0.00023294612156542,0.517181120199952,0.0110164034181659
"PTHR14907_SF3",0.658270481864147,0.421538569176916,0.311147016138625,0.579804365471976,1.89054988487375,-0.767599099750329,2.05487441444954,1.37610520159802,0.920031838237759,-0.557805536131209,0.362572868294253,0.579804365471976,-0.0837965858122658,0.928502441427113
"PTHR14907_SF4",0.512808075193555,0.477709383027619,15.8304916795933,0.000255206756636573,-5.05981394151264,4.70231802307932,1.76481198298158,1.18185662955662,-2.86705552223433,3.978755041416,0.00633581672063016,0.000255206756636573,0.514382181544758,0.0110164034181659
"PTHR14909",0.475430987067616,0.494119769781646,17.2863360712551,0.000146241159567947,-5.29584334419146,4.86739242419413,1.74814935397315,1.17069802526939,-3.02939982339335,4.15768397924315,0.00409154457464827,0.000146241159567947,0.531091862165847,0.0110164034181659
"PTHR14911",70.3118121460403,1.13632930329517e-10,0.1484308563607,0.70189567719361,1.9607559078512,0.113738885857173,0.440839520625671,0.29522074591866,4.44777706197566,0.385267253164215,5.82709513337068e-05,0.70189567719361,0.0579835044996534,0.951504595500744
